user,text
BasementBiden1,@JoeBiden Why did you scream today through your whole teleprompter speech?! And you said Trump was the one screamin… https://t.co/tfxgpaKwC0
lynnecolcombe2,"@JoeBiden I’m with you, Sir."
Thunder36565726,@JoeBiden WHERES HUNTER!!!&gt;&gt;&gt;BIDEN&gt;&gt;&gt;IF elected will be deposed of due to DEMENTIA&gt;&gt;&gt;PELOSI / HARRIS will then install themselves!!!
Killface1981,@JoeBiden Like every other President ever
swedelish1,@JoeBiden Whew boy....that’s a laugh! You ain’t never gonna be president. You got one foot in the grave and one foot on a banana peel.
alan16492195,@JoeBiden President Trump clearly condemns white supremacists https://t.co/9Y4cCbp8PG via @YouTube
saintangelo,@JoeBiden What about my family of one white love-starved right-handed heterosexual and four cats? I had to drop bot… https://t.co/AwlUHvJlGH
ComeonM75267481,@JoeBiden Just not white people or black that aren't black or gun owners or right to lifers or business owners.
adam_rossini,"@JoeBiden The billboard should have said: Hide your kids, hide your wife, here comes Joe Biden."
10dollarbeer,@JoeBiden Digging deep into the BS pile for this one Joe.
rick2forestview,@JoeBiden I see that ! https://t.co/i7rwMqQaiF
hope4best47,"@JoeBiden Unless you are a police officer,  gun owner , business owner."
Karsmdt,@JoeBiden https://t.co/lMBZiYqmL9
koalifiedgrace,@JoeBiden https://t.co/cirIqnceb3
FloridaBiden,@JoeBiden @JamieOsta https://t.co/0olJW8c84J
moxie_mo24,@JoeBiden Can you be for all families by providing universal healthcare or is that too much to ask for during a pandemic?
que1745,@JoeBiden https://t.co/5yu6VglpEz
JCL11321778,@JoeBiden @JoeBiden hasn't done anything for anyone else's family but his own. The moscow mayor's wife hasn't wired… https://t.co/tRfXp8Byp7
lou122Louiss,@JoeBiden To bad you were only for your family
JoJosep21286297,@JoeBiden Trump is a lion. Biden thought he was one but realized he was a Jackal.
eddabc247,@JoeBiden KKK Leader Robert Byrd  Now you decide who the real racists is https://t.co/fcyaqd7Yfl
S97294004,@JoeBiden https://t.co/jn1HcOPq7G
superbucks2050,@JoeBiden Joe Biden -- especially for little girls who can't fight back and hot Moms who are too afraid to fight back.
4SDash,@JoeBiden For all our families 😂. You should have the motto “For enriching my own family!” Crony deals for yourself… https://t.co/qZsz8150VA
Matt21221390,@JoeBiden You're a phony politician.
scottsdale_h,@JoeBiden Get to Arizona
DeplorableJoe13,"@JoeBiden What have you done for anyone in your 47 years, Joe?"
Ibethat1111,@JoeBiden No thank you. I just simply do not believe you. Not on anything and definitely not for my life or my families.
DangerousLiber1,"@JoeBiden For gun owning families, too?"
ProudPa66263291,"@JoeBiden I think you mis-read it. It said, ""all for MY family"".  Tht's what guided you.... #VoteRedToSaveAmerica"
Welchy4,@JoeBiden For all our kids hair.
Slim02487102,"@JoeBiden You're right, Joe.. you don't discriminate.. you'll sniff young girls from all families..."
AnnIrby7,@JoeBiden I am voting Democratic because we need a change in the Commander of Chief in the White House I know Biden… https://t.co/B4fraoQuC2
BlairDMckee,@JoeBiden All our base are belong to us
